index,推荐博主名称,博主涉及领域,平台及链接,推荐人ID,推荐理由,推荐时间
132,氕氘氚Star,天文,[B站](https://space.bilibili.com/35970601),光脉之酒,天文摄影爱好者，科普各种天文现象。,2021-12-17 20:48:27
133,艾栗夏,天文/人文/宇宙,[B站](https://space.bilibili.com/670400594),光脉之酒,一个非常有潜力的up主，每一个视频都能让人感受到倾注其中的细腻情感与奇思，把人文和科学用一种类似通感的方式有机地结合在一起，形成了一种独特的风格。（注：2022年up主表示会全职，期待她能做出更多优秀的作品）,2021-12-17 21:18:48
134,梦想自救指南,天文/物理,[B站](https://space.bilibili.com/1663234886),光脉之酒,这个up主制作的互动视频都是精品，可以反复观看、体验，给人的感觉就像是在玩游戏。,2021-12-17 20:45:19
135,Linvo说宇宙,天文学/量子力学/宇宙学,[B站](https://space.bilibili.com/357515451), ,天文学&量子力学&宇宙学的基础科普,2021年1月18日14:12:43
136,唯一讲述者,好玩,B站,青蛙外婆,各种话题，坐地铁、上厕所之类的碎片时间可以刷一刷，视频时长不长的~, 
137,碳十二,好玩,其他,伟俊, ,2021-12-20 07:40:05
138,up,好玩儿,B站,djxzmg, ,2021-12-16 12:33:46
139,李银河,婚姻、家庭、情感、性别与性,[B站](https://space.bilibili.com/702575961),CNtei,中国社会学家,2021-12-15 20:53:10
140,Yjango,学习,B站,墨鱼,学习观系列视频作品带你深入了解什么是学习,2020-01-16 00:00:00
141,忘了,学习,B站,兔兔, ,2021-12-31 13:28:17
142,椒盐噪声Pepper,学习,[B站](https://space.bilibili.com/363927500),多折脑褶,书籍阅读，学习方法，时间管理,2021-12-20 03:23:09
143,龚政,学习,B站,达拉崩吧,无, 
144,安因思谈,学习、历史,[B站](https://space.bilibili.com/417244904),多折脑褶,描述一些方法论，历史等，尝试解决生活中一些问题,2021-12-20 08:13:34
145,YJango,学习观,[B站](https://space.bilibili.com/344849038),远志学,学习观,2021-01-19 00:00:00
146,羽毛球教学,宝藏教练聪聪,[B站](https://space.bilibili.com/1198291210),逆潮而动,专业系统的羽毛球教学，看完感觉很有用！,2022-02-06 13:51:46
147,内森の日常,宝藏资源和课程,[B站](https://space.bilibili.com/492387019),爱吃面包的小牛爸爸,有精彩的大师课，主要是外版内容的搬运~, 
148,痞仔伯爵,实用的软、硬件知识,B站,彼得-施特拉塞,风趣幽默地评测、分享各种有趣实用的软、硬件知识，以及一些电脑数码推荐、测评。讲的啥虽然会忘掉，但风趣幽默的话语我绝对忘不了。,2021-12-15 20:37:51
149,我是阿众,实用软件及网站分享,[B站](https://space.bilibili.com/281120100),多折脑褶,分享实用软件及网站等，up主主页有单独的跳转链接,2021-12-20 02:23:30
150,大啊毛君,小说写作技能,[B站](https://space.bilibili.com/21036078/video),薄雾丷, ,2022-01-02 22:14:54
151,宝剑侍从,小说写作技能,[B站](https://space.bilibili.com/475449945/video),薄雾丷, ,2021-12-18 19:56:50
152,犄角啊犄角,小说写作技能,[B站](https://space.bilibili.com/442263318/video),薄雾丷, ,2022-01-02 22:13:02
153,子都忆情,小说写作教程,[B站](https://space.bilibili.com/8051469),D-E-D,内容很全面，UP很细心,2021-12-20 23:35:21
154,Abel小智,嵌入式 单片机 物联网,[B站](https://www.bilibili.com/video/BV1EB4y1N7iD),会飞的虾,超级接地气，贴近实际企业项目需求,2021-12-27 22:40:00
155,受之学堂,工业设计,[B站](https://space.bilibili.com/5679766),淡定淡定608, ,2021-02-08 00:00:00
156,一只建筑精,建筑,[B站](https://space.bilibili.com/484332084),贰子小脑斧, ,2021-07-04 00:00:00
157,来真的,建筑,[B站](https://space.bilibili.com/590784254),贰子小脑斧, ,2021-07-03 00:00:00
158,海边的Liam,建筑,[B站](https://space.bilibili.com/598257922),贰子小脑斧, ,2021-07-05 00:00:00
159,大象放映室,影视,[B站](https://space.bilibili.com/49246269),多折脑摺,影视作品深入解读，其中《激荡四十年》系列，以国内四十年发展为蓝本，讲述深刻,2021-12-20 02:03:43
160,1900影剧室,影视剧解读,[B站](https://www.bilibili.com/video/BV1QJ411a76B),杭奕,便于快速了解经典影视剧内容及其创作背景，细节性解读影视剧经典之处,2020-02-29 00:00:00
161,木鱼水心,影视剧解读,[B站](https://search.bilibili.com/all),杭奕,便于快速了解经典影视剧内容及其创作背景，细节性解读影视剧经典之处,2020-02-29 00:00:00
162,切片计划,影视杂谈,B站,阿漓,非常优秀的影评人，有深度，有思考,2021-12-25 17:44:15
163,万物捡史,很多领域和冷知识,[B站](https://space.bilibili.com/328531988/video),飒飒飒,魔性的动画和略微搞笑的陪音 让人看完一集还想看下一集,2021-02-07 00:00:00
164,我是周小北,心得,[B站](https://space.bilibili.com/388908674),多折脑褶,学习心得分享，书籍推荐,2021-12-20 03:10:35
165,Calm心理,心理,[B站](https://space.bilibili.com/495818507),CNtei,南京师范大学心理硕士，省级三甲医院全职心理治疗师 科普方向：个人成长、原生家庭、人际交往、情绪管理等,2022-01-01 02:32:43
166,Psych2go中文站,心理,[B站](https://space.bilibili.com/203230674),CNtei,在知行合一的路上共勉 (ง •̀o•́)ง,2021-12-15 21:33:10
167,安慰记心理小店,心理,B站,刘小时123,这是我大四那段很煎熬的时间里偶然发现的一个up主，一直觉得很幸运，知道了他们，让我在那段时间能坚持下来，可以鼓起勇气参加一场场面试，自我缓解第一次实习过程中的压力，每次看店长她们视频所谈的内容时，感觉都是自己现在所经历和困惑的问题，所以每当不开心和感到压力很大时就会去看他们的。,2022-01-02 02:03:33
168,心理学于悦,心理,[B站](https://space.bilibili.com/1167671073),CNtei,中国政法大学社会学院心理系，硕士生导师,2022-01-01 02:30:00
169,心理学家Tracey,心理,[B站](https://space.bilibili.com/689271931),CNtei,你们好，我是特蕾西博士，精神科医生，从事心理健康教育,2021-12-15 21:17:55
170,心理学陈祉妍,心理,[B站](https://space.bilibili.com/475015328),CNtei,中国科学院心理研究所国民心理健康评估发展中心负责人、中科院心理所教授、硕士生导师,2021-12-15 20:48:53
171,心理满,心理,[B站](https://space.bilibili.com/304207312),CNtei, ,2021-12-15 20:30:06
172,林林Eileen,心理/生物/性教育,[B站](https://space.bilibili.com/14803693),CNtei,bilibili 知名科普UP主,2021-12-15 21:43:17
173,看懂村,心理类,[B站](https://space.bilibili.com/37254033),飒飒飒,更加魔性的动画和陪音 让一知半解的知识变得有趣,2021-02-07 00:00:00
174,乐有为医生,性健康,[B站](https://space.bilibili.com/1103272707),CNtei,第五届中国十大男性健康科普专家 关注我，做快乐男人！,2021-12-15 20:28:09
175,中国性学会,性学,[B站](https://space.bilibili.com/661849085),CNtei,努力做站内最科学最有趣的性医学科普！,2021-12-15 21:02:53
176,菲比老司机,性学,[B站](https://space.bilibili.com/1930181623),CNtei,人类性学硕士，树德科大-人类性学硕士 ACS美国执业性学家＆性教育家 中华世界华人性学家协会(WACS) 理事,2021-12-15 20:50:15
177,-阿健-,性学等,[B站](https://space.bilibili.com/18690024),CNtei,把困在脑子里的想法救出来,2021-12-15 20:41:52
