index,推荐课程名称,授课老师,课程对应专业,平台及链接,推荐人ID,推荐人专业,推荐语,推荐日期
134,《Blender硬表面教程》,GLEB ALEXANDROV,动画/游戏建模,[B站](https://www.bilibili.com/video/BV14A411n76J),南宫浅,动画,在我入行前对我帮助最大的一个教程，详细讲解了制作流程，以及各个操作的原理，适合对建模有一些了解同时想继续深入的人,2021-01-16 00:00:00
135,《分析化学》,帅琴,化学,中国大学MOOC,39594575,化学（师范）,建议1.5倍速观看,2021-12-31 21:39:41
136,《名侦探柯南与化学探秘》,徐海等,化学,[B站](https://www.bilibili.com/video/BV1tE41127J4),Spark100,无机非金属材料工程,中南大学最热门的公选课，懂的都懂，课程通过引入《名侦探柯南》中的相应动画片段来引入化学有关知识点而开展课程教学,2021-02-09 00:00:00
137,《四大化学》都有讲，有机更新地最多,BabyChem,化学,B站,turnsole,化学,讲得非常非常透彻，每一节内容都很肝，会打破你对过往有机化学教学的认知，这位up致力于从机理上，分子轨道上讲解有机化学，并且为了帮助大家更好地理解有机反应，他先开了很多讲有机化学理论教学的部分，什么酸碱质子理论，电子效应，共振论，等等等等，十分细致，然后后续的具体的有机化合物反应的课程也是和前面的知识串起来了，总之，他的课程逻辑性很强，每一步讲解都会解释为什么，怎么来的。,2021-12-18 07:02:03
138,《基础有机化学》,BabyChem,化学,[B站](https://www.bilibili.com/video/BV11U4y1x7GL),呜呼哀哉喵,应用化学,链接是第一讲绪论理清有机思路，但是推荐先看一遍他讲化学的思路和规划BV1NT4y1K73k，四大化学都开了但还没讲完，目前仍在绝赞更新中。如果你对大学里的四大化学迷茫无处下手，可以来听一听他关于化学的知识构建,2021-12-20 14:05:14
139,《无机及分析化学》,王运等等等,化学,中国大学MOOC,🧐,食品质量与安全,王运老师教的还不错，其他的老师也还行，配合教材使用效果更佳哟！,2021-01-17 00:00:00
140,《有机》,BabyChem,化学,[B站](https://space.bilibili.com/1206565543/channel/collectiondetail),眨眨,化学,这个up的课是从根本上讲化学的，有机讲得很好，其他三大化学也有涉及，但是做的不多，大家也可以去看看, 
141,《有机化学》,杜锡光,化学,超星,395954575,化学（师范）,推荐师范专业学生使用，讲的很细,2021-12-31 21:37:56
142,《有机化学》,李艳梅,化学,[学堂在线](https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result),曹阳trainee,应用化学,综合观看后B站李艳梅yyds,2021-02-08 00:00:00
143,《物理化学/分析化学》,Real_zag,化学,B站,眨眨,化学,是我们学校学长的课，做得很好，很适合作为知识点复习或者考前预习，尤其是南开本学校的同学们，例题都是南开的往年题，我的物化和分析两门课都靠学长救命。, 
144,《物理化学》,朱文涛,化学,[B站](https://www.bilibili.com/video/BV1r7411o7Ce),影子猫,制药工程,画质有些查，但是真的能听进去，评论区有现版本的内容分类,2022-02-20 19:00:02
145,《生物化学与分子生物学》,华中科技大学孙军,化学,[B站](https://www.bilibili.com/video/BV1fJ411U72Z),小糊涂的大梦想,化学,,2021-02-14 00:00:00
146,《有机化学》,李艳梅,化学、药学,[学堂在线](https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result),学到头秃才算完,药学,老师将有机化学讲的非常透彻、细致，看了一定受益良多。考研、感兴趣都可以看看。,2021-02-08 00:00:00
147,《化工原理》,贾绍义,化学工业,[MOOC](https://www.icourse163.org/learn/TJU-1002578001?tid=1450370451#/learn/announce),也良,化学工业,如果你学过考研政治的话，这门课程讲的主角就是那个至高无上的生产力。社会是如何把自然资源变为产品的,2021-12-26 22:23:22
148,《无机化学-吉林大学》,宋天佑,化学，环境,[B站](https://www.bilibili.com/video/BV1Ua411z7Ce),啊啊啊李,环境,学化学的自然要学，我学环境的，疯狂补化学知识，宋教授讲的挺好的, 
149,《化工原理》,刘红梅,化工,B站,化工原理刘老师,化学工程，化学工艺,里面有化工原理考研的内容，也有平时上课的内容, 
150,《化工热力学》,冯新,化工热力学（化学工程分支）,[B站](https://www.icourse163.org/course/NJTECH-1001752212),雪,化工,博士生导师，推荐的这门课是老师上课期间录制的，讲得很好。学校里江苏省化工热力学教材就是她主编的,2021-02-07 00:00:00
151,《区块链技术与应用》,北京大学肖甄,区块链,无,Diamond.T.X,计算机；金融,老师讲得很清晰 能对区块链这个底层技术基础有个大概的了解。B站就能查到老师的视频课程！,2021-12-16 23:02:40
152,《人体解剖学》,霍琨,医学,[B站](https://www.bilibili.com/video/BV1jf4y1C7LM),小鼠青蛙兔子,医学,霍老师用逻辑清晰的表达和精美准确的手绘向你展示人体的奥秘,2022-02-17 11:40:28
153,《医用化学》,董丽 耿明江 刘振岭 李向荣 晁淑军 闫云辉,医学,[中国大学MOOC](https://www.icourse163.org/course/CSU-1001930016?from=searchPage&outVendor=zw_mooc_pcssjg_),438910021,临床医学,人卫9版基础化学+有机化学, 
154,《生物化学》,刘不言,医学,[B站](https://www.bilibili.com/video/BV1gy4y1a7Vq),要开心呀,预防医学,生物化学真的太厚了，刘老师真的很好的总结了知识点啊，最后，感谢刘老师,2021-12-19 20:22:11
155,《生理学》,罗自强,医学,[B站](https://www.bilibili.com/video/BV1JV411t7ow),姥姥的饺子馆,医学 生理学,思路清晰，课程讲解哼适合初学者, 
156,《生理学》,刘忠保,医学,B站,端壹,医学,,2021-12-19 09:25:43
157,《生理学》,景晴,医学,[其他](https://www.acfun.cn/v/ac18561104),鱼籽鱼干,临床医学,景晴老师的生理学有趣兼有干货,2022-03-27 10:10:41
158,《病理学》,,医学,[中国大学MOOC](https://www.icourse163.org/learn/HUST-1206634843?tid=1460894442#/learn/content?type=detail&id=1237299137&cid=1257128380),李媛君,临床医学,是一群老师 对书本内容再次优化 结构清晰 重点突出,2021-02-07 00:00:00
159,《系统解剖学》,霍琨,医学,[B站](https://www.bilibili.com/video/BV1P7411N7fW),捣药,医学,, 
160,《医学影像》,孟悛非,医学/临床,无,闲云野鹤c、,孟悛非,,2021-12-16 19:19:33
161,《解剖学》,霍琨,医学相关,[辽宁资源共享](http://sharecourse.upln.cn/pdt/sharecourse/index.html),SailorKong,运动人体科学&电子信息工程,板书精良，灵魂画家，由浅入深，受益匪浅。,2021-01-17 00:00:00
162,《MSP432的使用》,物联世界,单片机,B站,罗小格,电子信息工程,详细地对MSP432进行了基于TI公司在CCS内置的例程进行讲解，十分适合参加电赛的同学学习,2021-02-08 00:00:00
163,《STC15单片机》,,单片机,[B站](https://m.bilibili.com/video/BV1WC4y1t7Ay),羽过天晴啦啦啦,自动化,特别适合单片机入门,2021-02-08 00:00:00
164,《stm32单片机》,洋桃电子,单片机,B站,罗小格,电子信息工程,作为一个单片机工作室，这是其开发板的配套教程。十分详细且层次分明，废话少，适合初学者,2021-02-08 00:00:00
165,《单片机原理与应用》,戴胜华,单片机,[中国大学MOOC](https://www.icourse163.org/course/NJTU-1001729006),自在如风的少年lc,机械,作为单片机的入门者，在浏览众多单片机课程后，这门课程讲解最为清晰，逻辑强，缺点是课程剪辑比较碎片化，不过在中国大学MOOC上最新的慕课开始把完整版也列出了，是单片机入门的不二选择,2021-02-10 00:00:00
166,《基于STM32CubeMX和HAL驱动库的嵌入式系统设计》,漆强,单片机STM32,MOOC,Thello,光电信息科学与工程,这个课不一定适合完完全全零基础的同学，虽然但是，在有少量了解的情况下，就会老师讲得很清楚，也很适合像我这样的菜鸡，而且目前我在网上找到的系统地教STN32CubeMX和HAL库使用的课程真不多，跟着老师现在也可以写一些代码了。,2021-02-07 00:00:00
167,《单独》,地方,单独,无,啊啊,试试,,2022-06-07 01:09:10
168,《百家讲坛-大隋风云》,蒙曼,历史,[其他](https://passport.ximalaya.com/thirdparty-h5/v1/auth/17/wx/noLogin?display=mobile&fromUri=http://m.ximalaya.com/share/album/5196122?cId=9&uid=33588298&shrdv=e40aa53e-dc29-341b-8516-0575c6925e3e&shrh5=android&subType=1010&shrid=17e09fb7f9a15d03&shrdh=1&shrpid=17e09fb7f9a5731&commandShareId=f59fee3311818e0e82f6158e4bbc4e62&shareTime=1640844984218&shareLevel=1&environmentId=1&appType=XM&code=071Mf800082N2N1YOR300Mq2N43Mf80o&state=null),激进的小兜子,新闻与传播,蒙曼老师的课程我是从百家讲坛之前的中央民族大学公开课就开始听，讲的很生动易懂，有趣。,2021-12-29 14:18:12
169,《艺术史》,朱青生,历史,爱课程,衡沐LM,城乡规划,以“中国的眼光，现代的立场”来具体陈述如何建造一条民族之间增进了解、各文明之间互相理解、互相尊重的道路，解释中国如何做一个世界艺术史的研究和解说。,2021-01-17 00:00:00
170,《秦始皇》,吕世浩,历史/考古/通识,COURSERA,椰子博士,市场营销（连锁经营管理）,吕世浩老师是研究《史记》的专家，课程通俗易懂，可以作为通史入门，作为了解《史记》这本书的一扇大门,2021-12-18 19:43:32
171,《世界上古史》,哈全安,历史学,B站,永葆温情与敬意,历史学,历史学专业学习中国古代史必备视频，三位老师都是历史学大佬，看完之后会对历史学有新的认识。, 
172,《世界古代史》-古希腊,王邵励,历史学,[B站](https://www.bilibili.com/video/BV1Sq4y1L74s),Messi少爷,历史学,生动有趣，老师文采也很好，辩证地看待历史。,2021-12-23 09:09:01
173,《中国古代史》,阎步克、邓小南、张帆,历史学,[B站](https://www.bilibili.com/video/BV1j44y1E7ot),永葆温情与敬意,历史学,期末不挂科，救命宝典，老师讲的很好！, 
174,《简明世界史 一、二》,潘迎春,历史学,[中国大学MOOC](https://www.icourse163.org/course/WHU-230009),WL王嘉尔总站,历史学（师范）,教材重点都涉及到，一个视频时间不长全是干货，老师的语言也很清晰，适合反复观看,2021-02-07 00:00:00
175,《中国古代史》,阎步克,历史系,B站,北望秦塞,历史学,,2021-07-29 00:00:00
176,《原子物理学》,物理系的允文君,原子物理学,[B站](https://www.bilibili.com/video/BV1RW411N7kg),十五的月亮十六袁,大学物理,分享的网址只有绪论，其他优质课程在他个人主页里找,2021-02-08 00:00:00
177,《变态心理学》,钱铭怡,变态心理学,爱课程,空白的阿栗,工商管理,,2021-01-15 00:00:00
178,《罗翔》,罗翔,口腔医学,无,来了来了,英语,狐狸哇哈起玛斯dk nn excel, 
179,《神韵诗研究》,王小舒,古代文学,MOOC,枝丫儿,汉语言文学,审美享受，中国式的文论理解,2021-02-08 00:00:00
180,《古代汉语》,高小方,古代汉语,超星,张紫溟,汉语言文学,南派古代汉语代表人物，著《古代汉语》,2021-02-06 00:00:00
181,《古典油画静物》,沈若,古典油画,[B站](https://www.bilibili.com/video/BV18x411L7V5),kkkllkkkk,艺术学,视频氛围安静，知识详细，讲解的素描关系的建立,2021-02-09 00:00:00
182,《聆听音乐》,克雷格·莱特 （Craig Wright）,古典音乐欣赏,[网易公开课](https://open.163.com/newview/movie/free?pid=M6HUGST1G&mid=M6HUJ4KR2),哎呀大菠萝,音乐史,本课程适合有一定乐理基础或对古典音乐、音乐史等有兴趣的同学，克雷格·莱特先生鞭辟入里的通过对诸多古典名曲的分析详细地阐述了音乐的奥秘与西方音乐体系的伟大与精妙之处，课程对应CD可以在喜马拉雅等平台搜索课程名称免费收听,2021-02-08 00:00:00
183,《各种编程语言》,菜鸟教程,各种编程语言,[无](https://www.runoob.com),jiang_star,计科,全面，简洁，详细,2021-02-07 00:00:00
184,《软件教程》,b站up主oeasy,各种软件教程,B站,东方月圆,动漫,他给的实在是太多了,2021-01-18 00:00:00
185,《【北京大学】哲学导论（全30讲）》,张祥龙,哲学,B站,花栗鼠de,教育学,看完并做了笔记，收获满满，适合小白入门。中西印度应有尽有。,2021-12-19 15:29:00
186,《公正该如何是好》,迈克尔·桑德尔,哲学,[网易公开课](https://open.163.com/newview/movie/free?pid=FEV4G1NN0&mid=VEV4G1NQ3),法学透明仔,法学,非常有深度，对法学学习启发有一定作用（难度较高）,2021-01-15 00:00:00
187,《哈佛哲学--死亡》,雪莱,哲学,[B站](https://www.bilibili.com/video/BV1pT4y1U7SY),没有个性的人,工学,"we are on this earth for a while,and then we’re not anymore!", 
188,《哲学-死亡》,Shelly Kagan,哲学,[网易公开课](https://open.163.com/newview/movie/free?pid=M6G42OB8E&mid=M6HSFJPTM),Ryan,哲学,深入浅出,2021-02-08 00:00:00
189,《哲学与人生》,傅佩荣,哲学,[B站](https://www.bilibili.com/video/BV1Ct4y1e7TG),芝士,智能医学工程,一个可能会让你活的更清醒的课程,2021-12-19 22:23:34
190,《哲学导论》,张祥龙,哲学,[B站](https://www.bilibili.com/video/BV1CC4y1t79Q),荒腔走板,药学,内容的话包括对哲学总体的基本的认识，中西印哲学的认识与比较。老师讲得很好，学术而不教条，常常从多个角度多种说法解释哲学理念，而且中心明确脉络清晰不散乱，晦涩的理念能用合适的例子让以理解。最难得的是，我从老师那能感到学习的真正快乐，上课专注而愉悦，对此我是充满感激的。, 
191,《哲学通论》,孙正律,哲学,[网易公开课](http://open.163.com/newview/movie/courseintro?newurl=/special/cuvocw/zhexuetonglun.html),杀杀菌,音乐,哲学入门，也可以算是给你一个哲学框架，总共只有5讲，却受益匪浅，建议配合教授写的书（书已成教材）一起食用，效果更佳,2021-01-17 00:00:00
